TASK 3 - PHASE 3: FULL SYSTEM LOAD DISTRIBUTION LOG
Load per leg dynamically computed during crawl gait
===============================================================================================

   Time | Active |  Phase |  FL_load |  FR_load |  RL_load |  RR_load | MaxLeg |    Total
  1.110 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.120 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.130 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.140 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.150 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.160 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.170 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.180 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.190 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.200 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.210 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.220 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.230 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.240 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.250 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.260 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.270 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.280 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.290 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.300 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.310 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.320 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.330 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.340 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.350 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.360 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.370 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.380 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.390 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.400 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.410 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.420 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.430 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.440 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.450 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.460 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.470 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.480 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.490 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.500 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.510 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
  1.520 |     FL |  SWING |   11.738 |   28.088 |   28.120 |   28.088 |     RL |   96.034
