TASK 2 - PHASE 6: FAILURE PROPAGATION LOG
System-level failure simulation across hip + knee
=====================================================================================

SCENARIO: Healthy
   Time |     Hip |    Knee |   FootX |   FootY |   Temp |         HipFail |     KneeFail
  2.670 |    8.38 |   12.06 |  0.8695 |  0.2125 |  25.0C |              OK |           OK
  2.680 |    8.50 |   12.24 |  0.8686 |  0.2156 |  25.0C |              OK |           OK
  2.690 |    8.62 |   12.42 |  0.8677 |  0.2186 |  25.0C |              OK |           OK
  2.700 |    8.75 |   12.60 |  0.8667 |  0.2217 |  25.0C |              OK |           OK
  2.710 |    8.88 |   12.78 |  0.8658 |  0.2247 |  25.0C |              OK |           OK
  2.720 |    9.00 |   12.96 |  0.8648 |  0.2278 |  25.0C |              OK |           OK
  2.730 |    9.12 |   13.14 |  0.8638 |  0.2309 |  25.0C |              OK |           OK
  2.740 |    9.25 |   13.32 |  0.8629 |  0.2339 |  25.0C |              OK |           OK
  2.750 |    9.38 |   13.50 |  0.8619 |  0.2369 |  25.0C |              OK |           OK
  2.760 |    9.50 |   13.68 |  0.8609 |  0.2400 |  25.0C |              OK |           OK
  2.770 |    9.62 |   13.86 |  0.8598 |  0.2430 |  25.0C |              OK |           OK
  2.780 |    9.75 |   14.04 |  0.8588 |  0.2460 |  25.0C |              OK |           OK
  2.790 |    9.88 |   14.22 |  0.8577 |  0.2490 |  25.0C |              OK |           OK
  2.800 |   10.00 |   14.40 |  0.8567 |  0.2521 |  25.0C |              OK |           OK
  2.810 |   10.12 |   14.58 |  0.8556 |  0.2551 |  25.0C |              OK |           OK
  2.820 |   10.25 |   14.76 |  0.8545 |  0.2581 |  25.0C |              OK |           OK
  2.830 |   10.38 |   14.94 |  0.8534 |  0.2611 |  25.0C |              OK |           OK
  2.840 |   10.50 |   15.12 |  0.8523 |  0.2641 |  25.0C |              OK |           OK
  2.850 |   10.62 |   15.30 |  0.8512 |  0.2671 |  25.0C |              OK |           OK
  2.860 |   10.75 |   15.48 |  0.8500 |  0.2701 |  25.0C |              OK |           OK
  2.870 |   10.88 |   15.66 |  0.8489 |  0.2730 |  25.0C |              OK |           OK
  2.880 |   11.00 |   15.84 |  0.8477 |  0.2760 |  25.0C |              OK |           OK
  2.890 |   11.12 |   16.02 |  0.8465 |  0.2790 |  25.0C |              OK |           OK
  2.900 |   11.25 |   16.20 |  0.8454 |  0.2819 |  25.0C |              OK |           OK
  2.910 |   11.38 |   16.38 |  0.8442 |  0.2849 |  25.0C |              OK |           OK
  2.920 |   11.50 |   16.56 |  0.8429 |  0.2878 |  25.0C |              OK |           OK
  2.930 |   11.62 |   16.74 |  0.8417 |  0.2908 |  25.0C |              OK |           OK
  2.940 |   11.75 |   16.92 |  0.8405 |  0.2937 |  25.0C |              OK |           OK
  2.950 |   11.88 |   17.10 |  0.8392 |  0.2967 |  25.0C |              OK |           OK
  2.960 |   12.00 |   17.28 |  0.8380 |  0.2996 |  25.0C |              OK |           OK
  2.970 |   12.12 |   17.46 |  0.8367 |  0.3025 |  25.0C |              OK |           OK
  2.980 |   12.25 |   17.64 |  0.8354 |  0.3054 |  25.0C |              OK |           OK
  2.990 |   12.38 |   17.82 |  0.8341 |  0.3083 |  25.0C |              OK |           OK
  3.000 |   12.50 |   18.00 |  0.8328 |  0.3112 |  25.0C |              OK |           OK
  3.010 |   12.62 |   18.18 |  0.8315 |  0.3141 |  25.0C |              OK |           OK
  3.020 |   12.75 |   18.36 |  0.8301 |  0.3170 |  25.0C |              OK |           OK
  3.030 |   12.88 |   18.54 |  0.8288 |  0.3199 |  25.0C |              OK |           OK
  3.040 |   13.00 |   18.72 |  0.8274 |  0.3228 |  25.0C |              OK |           OK
  3.050 |   13.12 |   18.90 |  0.8261 |  0.3257 |  25.0C |              OK |           OK
  3.060 |   13.25 |   19.08 |  0.8247 |  0.3285 |  25.0C |              OK |           OK
  3.070 |   13.38 |   19.26 |  0.8233 |  0.3314 |  25.0C |              OK |           OK
  3.080 |   13.50 |   19.44 |  0.8219 |  0.3342 |  25.0C |              OK |           OK
  3.090 |   13.62 |   19.62 |  0.8205 |  0.3371 |  25.0C |              OK |           OK
  3.100 |   13.75 |   19.80 |  0.8190 |  0.3399 |  25.0C |              OK |           OK
  3.110 |   13.88 |   19.98 |  0.8176 |  0.3427 |  25.0C |              OK |           OK
  3.120 |   14.00 |   20.16 |  0.8161 |  0.3456 |  25.0C |              OK |           OK
  3.130 |   14.12 |   20.34 |  0.8147 |  0.3484 |  25.0C |              OK |           OK
  3.140 |   14.25 |   20.52 |  0.8132 |  0.3512 |  25.0C |              OK |           OK
  3.150 |   14.38 |   20.70 |  0.8117 |  0.3540 |  25.0C |              OK |           OK
  3.160 |   14.50 |   20.88 |  0.8102 |  0.3568 |  25.0C |              OK |           OK
  3.170 |   14.62 |   21.06 |  0.8087 |  0.3596 |  25.0C |              OK |           OK
  3.180 |   14.75 |   21.24 |  0.8072 |  0.3624 |  25.0C |              OK |           OK
  3.190 |   14.88 |   21.42 |  0.8056 |  0.3651 |  25.0C |              OK |           OK
  3.200 |   15.00 |   21.60 |  0.8041 |  0.3679 |  25.0C |              OK |           OK
  3.210 |   15.12 |   21.78 |  0.8025 |  0.3707 |  25.0C |              OK |           OK
  3.220 |   15.25 |   21.96 |  0.8010 |  0.3734 |  25.0C |              OK |           OK
  3.230 |   15.38 |   22.14 |  0.7994 |  0.3762 |  25.0C |              OK |           OK
  3.240 |   15.50 |   22.32 |  0.7978 |  0.3789 |  25.0C |              OK |           OK
  3.250 |   15.62 |   22.50 |  0.7962 |  0.3816 |  25.0C |              OK |           OK
  3.260 |   15.75 |   22.68 |  0.7946 |  0.3843 |  25.0C |              OK |           OK
  3.270 |   15.88 |   22.86 |  0.7929 |  0.3871 |  25.0C |              OK |           OK
  3.280 |   16.00 |   23.04 |  0.7913 |  0.3898 |  25.0C |              OK |           OK
  3.290 |   16.12 |   23.22 |  0.7897 |  0.3925 |  25.0C |              OK |           OK
  3.300 |   16.25 |   23.40 |  0.7880 |  0.3952 |  25.0C |              OK |           OK
  3.310 |   16.38 |   23.58 |  0.7863 |  0.3978 |  25.0C |              OK |           OK
  3.320 |   16.50 |   23.76 |  0.7847 |  0.4005 |  25.0C |              OK |           OK
  3.330 |   16.62 |   23.94 |  0.7830 |  0.4032 |  25.0C |              OK |           OK
  3.340 |   16.75 |   24.12 |  0.7813 |  0.4058 |  25.0C |              OK |           OK
  3.350 |   16.88 |   24.30 |  0.7796 |  0.4085 |  25.0C |              OK |           OK
  3.360 |   17.00 |   24.48 |  0.7778 |  0.4111 |  25.0C |              OK |           OK
  3.370 |   17.12 |   24.66 |  0.7761 |  0.4138 |  25.0C |              OK |           OK
  3.380 |   17.25 |   24.84 |  0.7743 |  0.4164 |  25.0C |              OK |           OK
  3.390 |   17.38 |   25.02 |  0.7726 |  0.4190 |  25.0C |              OK |           OK
  3.400 |   17.50 |   25.20 |  0.7708 |  0.4216 |  25.0C |              OK |           OK
  3.410 |   17.62 |   25.38 |  0.7690 |  0.4242 |  25.0C |              OK |           OK
  3.420 |   17.75 |   25.56 |  0.7673 |  0.4268 |  25.0C |              OK |           OK
  3.430 |   17.88 |   25.74 |  0.7655 |  0.4294 |  25.0C |              OK |           OK
  3.440 |   18.00 |   25.92 |  0.7637 |  0.4320 |  25.0C |              OK |           OK
  3.450 |   18.12 |   26.10 |  0.7618 |  0.4345 |  25.0C |              OK |           OK
  3.460 |   18.25 |   26.28 |  0.7600 |  0.4371 |  25.0C |              OK |           OK
  3.470 |   18.38 |   26.46 |  0.7582 |  0.4396 |  25.0C |              OK |           OK
  3.480 |   18.50 |   26.64 |  0.7563 |  0.4422 |  25.0C |              OK |           OK
  3.490 |   18.62 |   26.82 |  0.7545 |  0.4447 |  25.0C |              OK |           OK
  3.500 |   18.75 |   27.00 |  0.7526 |  0.4472 |  25.0C |              OK |           OK
  5.010 |   18.88 |   26.86 |  0.7523 |  0.4482 |  25.0C |              OK |           OK
  5.020 |   19.00 |   26.72 |  0.7520 |  0.4492 |  25.0C |              OK |           OK
  5.030 |   19.12 |   26.59 |  0.7517 |  0.4502 |  25.0C |              OK |           OK
