TASK 3 - PHASE 6: CONTROL INTERFACE TELEMETRY
Structured output for Rajaryan (Control) + Dhruv (Data)
===============================================================================================

   Time | Active |  Phase |    State | Progress |  FL_hip |  FR_hip |  RL_hip |  RR_hip |   Failures
  0.800 |     FL |  SWING | UNSTABLE |    0.057 |    0.00 |  -10.00 |  -10.00 |  -10.00 |       none
  0.810 |     FL |  SWING | UNSTABLE |    0.058 |    0.12 |  -10.00 |  -10.00 |  -10.00 |       none
  0.820 |     FL |  SWING | UNSTABLE |    0.059 |    0.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.830 |     FL |  SWING | UNSTABLE |    0.059 |    0.38 |  -10.00 |  -10.00 |  -10.00 |       none
  0.840 |     FL |  SWING | UNSTABLE |    0.060 |    0.50 |  -10.00 |  -10.00 |  -10.00 |       none
  0.850 |     FL |  SWING | UNSTABLE |    0.061 |    0.62 |  -10.00 |  -10.00 |  -10.00 |       none
  0.860 |     FL |  SWING | UNSTABLE |    0.061 |    0.75 |  -10.00 |  -10.00 |  -10.00 |       none
  0.870 |     FL |  SWING | UNSTABLE |    0.062 |    0.88 |  -10.00 |  -10.00 |  -10.00 |       none
  0.880 |     FL |  SWING | UNSTABLE |    0.063 |    1.00 |  -10.00 |  -10.00 |  -10.00 |       none
  0.890 |     FL |  SWING | UNSTABLE |    0.064 |    1.12 |  -10.00 |  -10.00 |  -10.00 |       none
  0.900 |     FL |  SWING | UNSTABLE |    0.064 |    1.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.910 |     FL |  SWING | UNSTABLE |    0.065 |    1.38 |  -10.00 |  -10.00 |  -10.00 |       none
  0.920 |     FL |  SWING | UNSTABLE |    0.066 |    1.50 |  -10.00 |  -10.00 |  -10.00 |       none
  0.930 |     FL |  SWING | UNSTABLE |    0.066 |    1.62 |  -10.00 |  -10.00 |  -10.00 |       none
  0.940 |     FL |  SWING | UNSTABLE |    0.067 |    1.75 |  -10.00 |  -10.00 |  -10.00 |       none
  0.950 |     FL |  SWING | UNSTABLE |    0.068 |    1.88 |  -10.00 |  -10.00 |  -10.00 |       none
  0.960 |     FL |  SWING | UNSTABLE |    0.069 |    2.00 |  -10.00 |  -10.00 |  -10.00 |       none
  0.970 |     FL |  SWING | UNSTABLE |    0.069 |    2.12 |  -10.00 |  -10.00 |  -10.00 |       none
  0.980 |     FL |  SWING | UNSTABLE |    0.070 |    2.25 |  -10.00 |  -10.00 |  -10.00 |       none
  0.990 |     FL |  SWING | UNSTABLE |    0.071 |    2.38 |  -10.00 |  -10.00 |  -10.00 |       none
  1.000 |     FL |  SWING | UNSTABLE |    0.071 |    2.50 |  -10.00 |  -10.00 |  -10.00 |       none
  1.010 |     FL |  SWING | UNSTABLE |    0.072 |    2.62 |  -10.00 |  -10.00 |  -10.00 |       none
  1.020 |     FL |  SWING | UNSTABLE |    0.073 |    2.75 |  -10.00 |  -10.00 |  -10.00 |       none
  1.030 |     FL |  SWING | UNSTABLE |    0.074 |    2.88 |  -10.00 |  -10.00 |  -10.00 |       none
  1.040 |     FL |  SWING | UNSTABLE |    0.074 |    3.00 |  -10.00 |  -10.00 |  -10.00 |       none
  1.050 |     FL |  SWING | UNSTABLE |    0.075 |    3.12 |  -10.00 |  -10.00 |  -10.00 |       none
  1.060 |     FL |  SWING | UNSTABLE |    0.076 |    3.25 |  -10.00 |  -10.00 |  -10.00 |       none
  1.070 |     FL |  SWING | UNSTABLE |    0.076 |    3.38 |  -10.00 |  -10.00 |  -10.00 |       none
  1.080 |     FL |  SWING | UNSTABLE |    0.077 |    3.50 |  -10.00 |  -10.00 |  -10.00 |       none
  1.090 |     FL |  SWING | UNSTABLE |    0.078 |    3.62 |  -10.00 |  -10.00 |  -10.00 |       none
